Date,Open_USD,High_USD,Low_USD,Close_USD,Volume
2006-08-31,623.47,626.48,620.75,626.38,4842300
2006-09-01,623.0,626.42,618.27,624.91,3210200
2006-09-05,635.66,639.99,634.26,637.27,4219400
2006-09-06,635.93,638.95,632.01,632.31,3210900
2006-09-07,622.35,622.85,613.5,616.11,5402300
2006-09-08,608.77,611.29,606.36,609.98,3693400
2006-09-11,591.97,596.0,582.52,588.45,10580700
2006-09-12,590.02,594.45,585.29,586.7,5836200
2006-09-13,589.55,592.87,583.21,589.75,3539100
2006-09-14,589.44,590.75,574.25,575.36,7637700
2006-09-15,575.47,581.4,570.03,577.48,6454800
2006-09-18,578.32,587.58,577.81,585.97,4438700
2006-09-19,583.92,584.82,572.04,572.85,5287000
2006-09-20,581.93,586.25,575.79,576.39,5385200
2006-09-21,577.3,584.75,575.99,583.34,3870800
2006-09-22,591.0,591.5,583.85,588.99,3320300
2006-09-25,585.32,591.46,581.6,588.84,3797300
2006-09-26,588.71,593.44,586.19,591.12,2763400
2006-09-27,596.07,602.52,591.14,602.01,4656900
2006-09-28,603.01,606.93,597.7,602.1,3930900
2006-09-29,599.29,605.1,593.85,598.79,3201000
2006-10-02,602.49,604.0,594.74,595.95,2018800
2006-10-03,583.99,591.9,573.71,575.73,5233800
2006-10-04,578.89,579.4,559.55,567.81,8153900
2006-10-05,573.29,575.0,565.9,573.09,3890700
2006-10-06,566.7,574.15,560.16,573.85,4282700
2006-10-09,578.78,579.19,571.33,576.17,2689800
2006-10-10,569.37,576.72,568.0,573.9,3422100
2006-10-11,576.92,579.13,570.88,572.69,2944200
2006-10-12,571.12,578.67,570.22,578.67,2777500
2006-10-13,586.27,589.79,583.15,589.49,3078400
2006-10-16,593.05,595.57,590.94,595.47,1986300
2006-10-17,593.72,598.5,584.87,590.2,2657100
2006-10-18,591.87,594.0,586.23,589.55,3679000
2006-10-19,594.15,600.29,588.7,597.87,2952900
2006-10-20,598.36,598.66,590.31,591.61,3190500
2006-10-23,582.56,585.68,578.93,581.35,3521800
2006-10-24,575.66,586.33,572.34,585.42,3558200
2006-10-25,582.0,591.56,579.18,591.36,4384200
2006-10-26,594.08,598.31,593.58,596.7,5241100
2006-10-27,598.11,599.52,594.18,597.8,3080700
2006-10-30,604.44,610.48,602.73,602.93,4675700
2006-10-31,599.81,607.56,599.61,606.35,4603000
2006-11-01,614.06,619.29,610.54,617.38,8172300
2006-11-02,618.49,625.73,618.49,623.01,6680500
2006-11-03,621.91,628.85,620.3,626.84,7359200
2006-11-06,625.53,627.24,622.31,622.71,4078400
2006-11-07,627.34,628.65,623.52,624.22,5332400
2006-11-08,623.21,624.62,612.45,614.86,5319300
2006-11-09,624.93,635.09,617.0,633.28,6634800
2006-11-10,630.74,631.95,624.31,628.63,4437000
2006-11-13,622.78,629.0,621.17,625.39,3408800
2006-11-14,626.7,628.81,618.15,619.86,5706200
2006-11-15,617.24,624.59,616.34,622.27,3760500
2006-11-16,625.61,627.02,616.65,617.05,4347500
2006-11-17,618.02,621.84,617.41,621.84,3390900
2006-11-20,624.48,626.39,619.45,621.56,2947200
2006-11-21,626.51,629.23,624.3,626.71,2930400
2006-11-22,630.44,634.77,626.51,629.03,4863600
2006-11-24,639.07,641.09,637.36,639.28,6886100
2006-11-27,638.87,641.69,637.46,641.29,5249800
2006-11-28,640.35,641.46,632.5,640.05,6057400
2006-11-29,638.09,640.3,634.5,635.98,4006500
2006-11-30,645.1,648.72,635.0,648.32,6362700
2006-12-01,646.43,649.95,643.5,645.62,6363800
2006-12-04,644.61,648.0,639.88,645.52,3469100
2006-12-05,646.72,648.43,637.76,642.29,5254600
2006-12-06,634.9,640.5,626.95,630.98,6386500
2006-12-07,630.6,632.5,624.05,631.5,5384600
2006-12-08,635.12,637.74,622.94,624.75,6080900
2006-12-11,626.07,630.3,622.4,630.0,3163800
2006-12-12,628.23,630.5,625.82,629.34,3017900
2006-12-13,624.94,632.5,622.72,628.76,3595400
2006-12-14,626.93,628.75,624.42,625.22,2237300
2006-12-15,626.25,627.7,613.0,614.07,7427800
2006-12-18,612.53,616.5,610.52,614.45,3880800
2006-12-19,616.03,622.37,615.83,622.07,4254900
2006-12-20,620.48,622.7,618.56,620.28,2979300
2006-12-21,619.89,621.1,616.77,617.88,2483300
2006-12-22,618.51,622.04,617.2,620.53,1367400
2006-12-26,626.4,628.51,622.67,623.78,1975200
2006-12-27,627.0,628.61,625.69,626.19,3063500
2006-12-28,633.87,634.67,626.0,633.16,2538900
2006-12-29,633.1,636.52,632.8,636.12,2117200
2007-01-03,639.86,644.28,623.96,626.77,8061900
2007-01-04,624.81,629.14,619.28,620.58,4858600
2007-01-05,611.51,623.7,600.53,605.67,12500100
2007-01-08,607.78,609.39,602.45,608.79,3478700
2007-01-09,605.39,614.95,604.59,612.54,4170400
2007-01-10,608.61,612.24,604.59,609.92,3766000
2007-01-11,611.03,614.75,609.32,610.32,4640000
2007-01-12,614.03,626.92,613.03,625.81,5840200
2007-01-16,626.16,627.16,621.53,623.84,3201000
2007-01-17,623.95,633.32,623.95,630.7,4516200
2007-01-18,634.26,635.97,625.8,626.91,4460100
2007-01-19,629.59,635.73,627.07,634.42,3258400
2007-01-22,634.54,639.27,630.91,631.62,3941200
2007-01-23,641.25,647.39,641.15,646.79,6322000
2007-01-24,641.54,648.58,638.11,647.78,5241200
2007-01-25,652.45,653.26,644.19,645.0,5985700
2007-01-26,646.01,647.52,641.98,646.11,3493900
2007-01-29,643.01,647.44,641.1,642.21,3487300
2007-01-30,643.66,647.5,640.8,646.68,3094200
2007-01-31,644.27,655.5,641.8,652.72,5900900
2007-02-01,658.96,661.5,652.6,656.64,6284700
2007-02-02,651.99,659.3,642.0,647.16,9078500
2007-02-05,651.39,651.49,646.96,647.67,2553500
2007-02-06,655.17,659.0,648.1,652.55,2928800
2007-02-07,652.52,656.25,649.5,651.01,3075300
2007-02-08,653.93,660.88,649.1,659.98,4769900
2007-02-09,657.56,669.5,657.06,666.13,6816500
2007-02-12,664.97,666.07,659.02,661.64,4113500
2007-02-13,666.28,669.0,660.44,663.36,4143300
2007-02-14,667.23,672.0,664.61,668.64,4174600
2007-02-15,667.07,670.19,661.93,668.98,7673400
2007-02-16,664.12,668.66,662.31,668.35,3200400
2007-02-20,665.76,671.0,654.68,657.8,4810700
2007-02-21,657.88,682.3,656.77,678.43,11076700
2007-02-22,679.46,680.67,674.72,676.54,6562800
2007-02-23,678.59,688.06,674.0,682.31,8126200
2007-02-26,684.85,687.6,681.42,686.16,5254200
2007-02-27,679.56,689.55,656.65,660.09,15208600
2007-02-28,673.38,675.4,661.37,670.86,8924200
2007-03-01,668.34,673.58,661.78,664.2,7108000
2007-03-02,651.79,655.92,639.17,642.91,13732200
2007-03-05,637.03,643.69,631.99,635.11,9829800
2007-03-06,642.34,649.5,640.32,647.28,6992700
2007-03-07,647.3,652.35,641.35,648.92,6131800
2007-03-08,653.93,656.45,650.3,650.8,4285000
2007-03-09,654.23,658.27,647.47,648.48,9025500
2007-03-12,651.35,653.37,645.5,649.64,4558800
2007-03-13,648.83,652.87,641.56,643.08,4332100
2007-03-14,639.41,646.68,636.89,645.47,7417000
2007-03-15,646.49,650.83,644.97,645.98,7037700
2007-03-16,651.69,656.24,650.08,652.5,5040100
2007-03-19,655.26,655.87,652.74,653.85,2990500
2007-03-20,655.7,661.86,655.7,659.13,4416300
2007-03-21,661.9,665.53,657.65,664.72,5059000
2007-03-22,664.34,667.88,662.52,664.14,4719700
2007-03-23,664.66,665.77,655.67,658.2,5593000
2007-03-26,660.35,666.51,660.35,665.2,3928800
2007-03-27,665.66,666.57,661.82,663.84,3261700
2007-03-28,668.39,671.82,664.65,667.48,6310000
2007-03-29,666.76,667.07,654.6,663.53,5448300
2007-03-30,664.61,669.37,659.1,664.61,4290200
2007-04-02,664.76,668.8,656.1,665.87,5378100
2007-04-03,664.17,669.73,662.2,665.79,4141700
2007-04-04,668.23,677.23,664.0,675.51,7126100
2007-04-05,674.24,676.87,671.5,675.85,3592700
2007-04-09,676.11,679.35,671.1,672.58,3297300
2007-04-10,678.91,682.85,673.9,678.91,2741900
2007-04-11,678.16,680.58,673.62,676.34,4357100
2007-04-12,676.18,678.1,670.34,675.48,6021900
2007-04-13,680.61,685.45,677.58,684.14,5062700
2007-04-16,687.18,690.81,682.54,689.81,7912300
2007-04-17,688.91,690.63,685.58,685.78,4159000
2007-04-18,686.97,690.6,685.46,689.79,4933500
2007-04-19,686.14,686.55,678.58,681.4,5344600
2007-04-20,691.93,693.44,689.61,693.14,3358100
2007-04-23,690.31,692.74,686.58,688.8,2487500
2007-04-24,690.82,691.33,680.53,683.56,5073700
2007-04-25,684.71,686.83,682.8,685.12,2614100
2007-04-26,680.48,686.8,671.09,674.83,4668000
2007-04-27,674.39,681.75,673.0,681.65,5231700
2007-04-30,678.15,681.38,676.54,677.04,2605400
2007-05-01,675.99,676.19,671.55,673.07,3946300
2007-05-02,669.53,673.67,667.21,672.76,4499300
2007-05-03,674.88,682.45,672.96,681.14,3936200
2007-05-04,683.66,690.63,683.66,688.2,3313800
2007-05-07,690.53,690.93,686.49,688.81,1995100
2007-05-08,685.78,686.49,681.54,685.08,2475300
2007-05-09,684.37,684.67,675.39,680.74,4647500
2007-05-10,676.6,677.3,664.08,666.1,5536000
2007-05-11,667.46,672.81,667.46,670.69,2937300
2007-05-14,672.54,672.74,666.18,669.0,3597600
2007-05-15,665.01,673.49,664.91,671.57,2566600
2007-05-16,669.88,669.88,659.28,662.11,7268500
2007-05-17,660.61,662.23,653.35,656.78,8707000
2007-05-18,656.92,662.98,654.7,661.47,3158200
2007-05-21,659.12,663.87,656.8,662.96,10954300
2007-05-22,663.36,664.57,657.9,658.31,5886700
2007-05-23,661.57,665.31,660.86,661.77,6441800
2007-05-24,661.0,661.0,651.5,653.83,6228000
2007-05-25,655.88,657.09,653.56,655.68,4217600
2007-05-29,657.53,662.07,655.71,657.03,3343100
2007-05-30,654.77,658.4,651.5,653.36,2742800
2007-05-31,657.83,662.08,652.5,661.67,7530700
2007-06-01,663.14,672.0,660.8,670.61,5634800
2007-06-04,672.36,673.87,668.9,671.65,2626300
2007-06-05,673.13,674.0,668.39,669.8,3728100
2007-06-06,667.07,671.51,664.75,670.09,3596600
2007-06-07,668.86,671.4,657.66,658.67,6394300
2007-06-08,654.64,659.6,643.14,647.98,7313100
2007-06-11,649.5,654.85,649.2,653.14,4606600
2007-06-12,651.2,653.8,645.04,646.96,4073200
2007-06-13,645.14,652.2,644.3,650.99,2803300
2007-06-14,647.25,653.71,645.13,651.69,2765400
2007-06-15,649.99,655.2,649.69,654.23,3032900
2007-06-18,657.69,658.3,653.96,655.27,1791000
2007-06-19,653.66,661.43,653.0,660.62,2700900
2007-06-20,660.19,661.1,651.91,653.02,2591600
2007-06-21,653.18,656.11,647.13,651.46,2709200
2007-06-22,654.89,655.69,649.9,653.68,1890800
2007-06-25,650.7,653.33,648.08,650.2,3424900
2007-06-26,647.88,648.38,639.7,642.03,8276400
2007-06-27,641.18,644.72,640.07,642.5,4689400
2007-06-28,645.59,649.62,643.9,648.41,4231700
2007-06-29,648.7,652.23,647.29,648.5,2756400
2007-07-02,650.92,658.18,650.92,656.06,2706200
2007-07-03,656.46,656.46,651.61,653.23,1835300
2007-07-05,655.75,655.85,644.95,650.0,4333200
2007-07-06,647.58,655.55,644.55,655.45,8080700
2007-07-09,655.87,662.73,655.76,659.7,5280800
2007-07-10,662.94,664.55,659.5,662.03,4016200
2007-07-11,664.15,664.15,659.3,660.31,3647000
2007-07-12,664.87,668.91,660.43,666.19,5870600
2007-07-13,666.78,668.3,662.65,666.28,3817800
2007-07-16,667.9,667.9,662.65,664.16,4579600
2007-07-17,662.58,666.82,662.48,663.49,1878600
2007-07-18,667.13,674.09,665.01,672.28,5238700
2007-07-19,673.13,677.37,672.22,676.26,4607900
2007-07-20,677.38,686.16,677.28,681.93,5408600
2007-07-23,684.29,684.29,679.35,680.96,3892400
2007-07-24,683.41,686.23,679.17,680.88,3763000
2007-07-25,677.95,678.25,669.48,675.03,7530500
2007-07-26,670.79,674.22,653.32,662.61,10704100
2007-07-27,658.91,662.24,655.78,660.22,5341900
2007-07-30,659.84,665.39,656.81,663.87,3046800
2007-07-31,668.2,670.32,657.5,664.26,4006500
2007-08-01,661.22,666.87,658.5,665.56,6364400
2007-08-02,665.61,666.7,661.48,664.91,5331500
2007-08-03,664.53,675.33,664.53,673.01,10736000
2007-08-06,672.74,672.84,668.2,671.33,2973200
2007-08-07,666.89,671.83,665.07,670.82,4147200
2007-08-08,673.39,681.56,667.84,673.79,4252100
2007-08-09,665.64,667.8,658.47,660.69,9407200
2007-08-10,660.46,675.8,659.5,671.86,8831700
2007-08-13,670.76,671.47,668.03,668.84,3644000
2007-08-14,668.7,671.23,665.0,669.11,4749600
2007-08-15,664.05,670.61,661.93,667.58,5886400
2007-08-16,660.84,665.2,640.46,652.67,18367500
2007-08-17,651.51,663.32,648.4,656.05,6374300
2007-08-20,656.53,660.0,653.71,657.14,4475200
2007-08-21,657.74,658.96,653.2,656.63,4478600
2007-08-22,658.11,661.24,657.6,659.92,4251100
2007-08-23,662.32,663.93,657.17,658.99,3027400
2007-08-24,660.16,668.8,659.05,667.12,3648300
2007-08-27,666.12,668.0,664.61,665.82,1865700
2007-08-28,665.63,667.15,660.89,662.0,3473100
2007-08-29,665.0,668.13,663.39,666.82,4469800
2007-08-30,664.84,667.16,662.42,664.13,3027700
2007-08-31,672.37,673.99,670.86,671.46,4089900
2007-09-04,673.69,682.97,672.17,680.75,6640300
2007-09-05,679.83,682.56,678.12,681.95,6268300
2007-09-06,685.59,697.3,685.28,695.07,15880800
2007-09-07,699.11,706.58,696.49,700.42,14960000
2007-09-10,706.2,706.2,693.78,702.77,7598500
2007-09-11,705.19,713.67,701.76,711.86,11182400
2007-09-12,711.57,713.9,704.81,711.16,8032800
2007-09-13,707.38,709.3,702.74,707.48,4612400
2007-09-14,705.8,717.2,705.4,706.71,7733200
2007-09-17,710.85,719.33,710.35,716.61,7457800
2007-09-18,718.94,727.02,710.86,723.99,14253100
2007-09-19,724.45,725.05,719.5,721.32,10937800
2007-09-20,728.58,738.17,726.56,734.33,11945000
2007-09-21,733.61,737.14,721.69,730.48,9937400
2007-09-24,732.89,733.5,725.32,729.96,6475100
2007-09-25,725.29,733.07,723.47,730.44,5503500
2007-09-26,729.68,736.55,725.64,727.15,9418300
2007-09-27,733.59,735.5,727.4,734.1,5728200
2007-09-28,739.33,745.7,733.7,742.56,8837600
2007-10-01,742.38,747.4,740.36,746.52,4823700
2007-10-02,731.88,746.5,723.6,730.87,10720000
2007-10-03,730.04,734.08,720.95,726.5,8186000
2007-10-04,725.65,738.39,719.99,736.47,9178500
2007-10-05,735.8,744.29,726.5,741.86,10597200
2007-10-08,734.38,737.0,730.54,733.06,3447600
2007-10-09,730.58,740.79,728.66,738.66,7416100
2007-10-10,743.69,745.91,733.89,741.26,4615000
2007-10-11,747.81,753.98,740.74,747.1,10291400
2007-10-12,747.06,753.73,745.24,753.73,3604200
2007-10-15,757.63,759.75,752.58,759.14,6705300
2007-10-16,756.33,762.4,745.32,758.85,6622900
2007-10-17,761.04,764.57,750.93,752.85,9355300
2007-10-18,761.58,767.84,761.07,767.84,5646900
2007-10-19,768.72,770.74,753.06,764.78,9507800
2007-10-22,748.6,766.7,746.07,753.75,8636500
2007-10-23,758.87,760.39,754.02,760.09,3096400
2007-10-24,756.09,763.66,753.5,762.96,5660600
2007-10-25,767.1,769.42,764.27,768.01,6487800
2007-10-26,776.34,785.12,771.4,784.62,8544200
2007-10-29,790.53,793.8,784.26,789.01,6881000
2007-10-30,784.49,785.5,777.92,781.36,5608600
2007-10-31,785.6,797.41,776.61,794.08,8872900
2007-11-01,792.0,797.05,782.9,787.25,7545500
2007-11-02,793.48,807.12,782.68,806.41,9911400
2007-11-05,804.99,810.65,799.23,805.7,5025300
2007-11-06,818.56,825.3,815.23,822.6,7692500
2007-11-07,840.59,840.9,821.6,830.79,16512900
2007-11-08,832.93,845.05,825.86,830.91,17356200
2007-11-09,826.53,835.8,820.77,830.47,6947800
2007-11-12,813.07,813.37,791.23,791.73,17297000
2007-11-13,802.83,808.18,787.25,799.99,11438200
2007-11-14,810.97,817.0,807.94,811.68,5703700
2007-11-15,800.52,803.76,781.51,788.08,10908200
2007-11-16,792.06,797.21,780.23,786.09,8078000
2007-11-19,787.02,788.64,769.53,780.96,6088600
2007-11-20,788.53,808.84,781.15,803.08,12081600
2007-11-21,801.4,803.93,793.92,802.01,7264100
2007-11-23,808.69,824.55,808.49,820.91,5259700
2007-11-26,831.24,831.24,819.92,821.64,7440200
2007-11-27,815.86,824.8,806.86,809.79,7229900
2007-11-28,803.03,807.58,796.36,804.55,9706700
2007-11-29,801.58,807.8,791.47,791.47,9306700
2007-11-30,792.39,798.6,778.4,781.98,9509100
2007-12-03,782.61,794.6,777.0,791.61,6265700
2007-12-04,795.02,805.03,787.2,802.8,7721900
2007-12-05,801.47,803.9,790.75,795.2,7685300
2007-12-06,788.05,805.55,786.5,802.72,6840200
2007-12-07,799.13,805.09,790.83,794.98,8328500
2007-12-10,800.56,812.19,799.3,809.16,4850900
2007-12-11,807.29,814.48,796.0,798.08,9579200
2007-12-12,810.22,819.02,809.1,814.67,9702500
2007-12-13,805.92,810.3,792.7,794.88,9552200
2007-12-14,793.83,803.5,787.85,794.94,6827000
2007-12-17,791.26,797.95,788.02,791.26,6495900
2007-12-18,806.05,806.05,793.0,802.6,6757700
2007-12-19,802.5,805.95,799.1,802.61,5638500
2007-12-20,799.45,801.48,793.88,797.02,6345600
2007-12-21,812.03,813.65,800.0,811.42,4603300
2007-12-24,812.58,816.83,809.8,811.87,2863500
2007-12-26,820.63,826.9,815.7,825.29,5896700
2007-12-27,829.23,832.5,824.06,825.99,5050300
2007-12-28,834.25,840.73,826.6,840.53,5134700
2007-12-31,837.89,843.2,830.19,835.05,3815600
2008-01-02,846.1,862.1,844.89,859.26,12291100
2008-01-03,859.36,870.2,856.3,866.45,9553900
2008-01-04,864.76,866.89,855.54,862.63,8402200
2008-01-07,863.77,863.97,856.98,859.01,6944300
2008-01-08,874.26,882.87,861.6,879.32,9567900
2008-01-09,877.18,885.0,874.55,877.08,10080200
2008-01-10,875.6,896.27,875.5,894.14,12916300
2008-01-11,891.97,899.7,889.7,897.44,6978800
2008-01-14,905.98,910.95,901.43,906.9,10085000
2008-01-15,907.87,915.47,887.6,891.56,23853900
2008-01-16,893.64,898.6,874.89,878.74,26919000
2008-01-17,887.07,891.93,876.63,876.93,13592300
2008-01-18,883.53,886.8,871.0,886.06,9094500
2008-01-22,873.07,896.39,863.2,893.65,20679600
2008-01-23,883.22,898.52,878.86,890.62,14282000
2008-01-24,909.03,914.4,890.9,912.68,10627200
2008-01-25,920.79,922.31,906.31,914.41,9703900
2008-01-28,921.09,930.5,914.5,929.09,8533200
2008-01-29,925.04,928.69,919.48,922.92,9091600
2008-01-30,918.14,937.07,915.3,931.8,14378100
2008-01-31,920.02,928.6,918.2,924.88,7791500
2008-02-01,928.54,936.2,902.94,904.25,19635600
2008-02-04,895.89,912.0,891.24,901.86,10285000
2008-02-05,889.55,905.2,883.48,887.32,11170100
2008-02-06,900.66,910.0,887.5,900.16,8787200
2008-02-07,899.98,910.0,896.4,909.09,8971300
2008-02-08,910.48,920.59,910.38,920.59,9128200
2008-02-11,920.83,926.9,914.76,923.76,6832200
2008-02-12,918.84,924.8,901.34,903.66,10225900
2008-02-13,899.14,910.37,897.02,904.81,10038800
2008-02-14,904.15,911.63,903.95,907.59,6882500
2008-02-15,913.56,913.76,896.67,901.93,5586100
2008-02-19,922.91,930.09,900.5,926.45,8371600
2008-02-20,918.59,945.0,917.68,942.86,10632400
2008-02-21,944.98,953.4,940.1,943.06,12952200
2008-02-22,946.04,948.5,933.81,944.32,7576900
2008-02-25,947.58,948.9,931.4,937.77,11954500
2008-02-26,934.57,950.14,931.3,947.51,8452200
2008-02-27,956.24,960.08,950.27,958.46,9926500
2008-02-28,959.25,972.1,954.4,970.06,11211200
2008-02-29,968.18,973.1,962.12,971.82,9347800
2008-03-03,985.11,987.33,976.63,982.28,11479000
2008-03-04,982.86,984.58,953.66,961.64,21356500
2008-03-05,970.95,992.7,963.9,987.31,15354300
2008-03-06,980.05,987.7,962.66,975.2,18543500
2008-03-07,976.42,984.9,967.53,971.27,10066900
2008-03-10,960.28,976.8,959.07,969.07,10868400
2008-03-11,975.79,980.44,962.34,970.43,14343300
2008-03-12,976.2,984.29,972.77,980.55,8178200
2008-03-13,995.91,998.5,983.7,994.29,14681500
2008-03-14,991.21,1006.38,991.01,998.09,17565100
2008-03-17,1004.01,1015.34,990.67,1002.5,26505900
2008-03-18,1005.11,1010.0,974.76,976.28,20966100
2008-03-19,967.84,979.3,935.97,941.43,37594300
2008-03-20,918.36,943.2,908.95,910.06,28830000
2008-03-24,917.88,926.59,909.07,912.31,14325700
2008-03-25,930.6,939.51,924.22,938.9,15839900
2008-03-26,942.81,951.82,942.3,949.8,12389000
2008-03-27,946.84,952.71,941.17,946.33,7560500
2008-03-28,931.12,951.1,921.8,930.31,8786600
2008-03-31,937.26,940.1,910.93,915.49,11165000
2008-04-01,889.78,919.8,871.45,879.66,23673200
2008-04-02,883.64,908.75,881.2,903.79,13537500
2008-04-03,897.2,908.95,887.58,905.6,9324800
2008-04-04,905.98,914.9,898.8,913.78,7228200
2008-04-07,918.66,928.98,912.3,923.11,8196200
2008-04-08,911.69,925.3,908.45,914.83,5773000
2008-04-09,914.38,935.5,904.1,934.53,10572400
2008-04-10,934.86,939.2,921.19,929.29,7758500
2008-04-11,925.86,931.2,917.15,924.74,6545700
2008-04-14,925.1,931.79,915.6,922.97,4697000
2008-04-15,929.38,936.0,924.3,928.67,6635400
2008-04-16,944.19,949.46,927.2,945.0,8469200
2008-04-17,945.6,947.9,937.19,938.0,6875300
2008-04-18,909.1,936.0,901.4,918.22,11390700
2008-04-21,920.0,924.6,910.88,914.53,11927500
2008-04-22,916.56,925.99,913.52,915.04,14043600
2008-04-23,902.19,921.5,896.52,904.42,18170500
2008-04-24,894.93,911.66,883.17,884.38,22846600
2008-04-25,895.87,896.78,878.1,885.12,11179900
2008-04-28,891.52,896.79,887.0,889.59,8071700
2008-04-29,880.12,890.6,868.04,870.78,14689000
2008-04-30,872.43,879.42,862.39,878.0,17701500
2008-05-01,856.18,873.5,846.66,850.91,17664500
2008-05-02,850.32,858.72,850.32,856.59,8744400
2008-05-05,867.49,873.66,861.2,873.46,7381300
2008-05-06,874.17,882.48,872.3,877.21,10760400
2008-05-07,865.48,871.86,862.75,869.03,7218400
2008-05-08,878.37,884.85,867.1,883.23,8628600
2008-05-09,884.52,886.74,869.03,885.02,9926600
2008-05-12,880.04,887.33,878.72,880.74,5010000
2008-05-13,861.83,872.16,859.8,864.56,7359800
2008-05-14,868.39,869.2,862.01,863.02,8650600
2008-05-15,882.52,887.28,865.8,881.2,9437900
2008-05-16,896.65,904.55,891.59,902.53,12075300
2008-05-19,907.31,908.63,900.22,905.49,5931200
2008-05-20,907.76,923.57,907.26,920.83,10683000
2008-05-21,917.94,933.14,917.94,931.62,11346200
2008-05-22,923.98,928.33,916.88,921.75,8864400
2008-05-23,925.35,932.14,921.6,924.34,6062800
2008-05-27,910.26,912.0,903.37,905.39,7601700
2008-05-28,896.58,903.67,895.16,903.17,8104100
2008-05-29,880.9,903.2,872.1,876.54,12696700
2008-05-30,884.93,888.5,868.6,886.04,4944200
2008-06-02,886.57,898.0,881.8,891.53,5277100
2008-06-03,878.3,896.1,874.6,880.63,8396000
2008-06-04,882.53,886.1,876.0,878.07,7157500
2008-06-05,870.91,879.41,865.4,875.77,14130900
2008-06-06,888.91,901.77,877.7,901.77,17431700
2008-06-09,896.51,908.9,889.42,890.94,9172100
2008-06-10,873.49,886.6,861.64,866.1,13903800
2008-06-11,876.13,882.0,869.5,880.68,10153600
2008-06-12,862.89,873.6,858.2,867.04,9826200
2008-06-13,864.43,871.42,860.5,869.49,8429000
2008-06-16,893.59,893.59,871.3,881.54,6993700
2008-06-17,878.69,887.0,876.3,884.06,5285800
2008-06-18,888.14,895.74,882.77,894.42,7818800
2008-06-19,905.71,907.02,888.6,896.08,10520500
2008-06-20,900.27,908.28,899.77,901.59,10057800
2008-06-23,882.08,903.4,879.2,882.89,12784300
2008-06-24,885.05,894.58,884.44,886.77,7398500
2008-06-25,885.98,887.5,872.81,885.88,10897700
2008-06-26,906.66,920.44,906.66,917.91,18407600
2008-06-27,921.87,930.38,910.7,926.83,14490300
